timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,14.6,10.5,199.0,14.3,9.4,30.0
2026-07-31T01:00:00Z,14.3,10.7,270.0,13.5,9.9,31.0
2026-07-31T02:00:00Z,15.4,11.8,383.0,12.2,10.5,34.0
2026-07-31T03:00:00Z,15.0,9.9,439.0,10.7,10.7,41.0
2026-07-31T04:00:00Z,16.3,10.0,379.0,8.7,10.0,57.0
2026-07-31T05:00:00Z,19.4,12.2,263.0,6.3,8.8,79.0
2026-07-31T06:00:00Z,23.9,15.0,176.0,4.5,7.7,96.0
2026-07-31T07:00:00Z,28.9,17.8,156.0,3.4,6.8,107.0
2026-07-31T08:00:00Z,32.8,20.0,165.0,2.7,5.9,114.0
2026-07-31T09:00:00Z,36.4,21.6,177.0,2.7,5.5,117.0
2026-07-31T10:00:00Z,34.3,20.9,183.0,3.5,5.9,116.0
2026-07-31T11:00:00Z,32.9,20.4,191.0,5.0,6.8,110.0
2026-07-31T12:00:00Z,34.8,22.5,197.0,6.6,7.2,100.0
2026-07-31T13:00:00Z,31.7,22.2,198.0,7.1,6.6,95.0
2026-07-31T14:00:00Z,30.4,21.7,197.0,7.9,5.7,89.0
2026-07-31T15:00:00Z,29.2,20.3,204.0,8.8,5.3,82.0
2026-07-31T16:00:00Z,26.3,17.6,231.0,10.1,5.6,75.0
2026-07-31T17:00:00Z,24.9,15.6,265.0,11.6,6.2,67.0
2026-07-31T18:00:00Z,25.6,15.5,284.0,12.8,7.0,60.0
2026-07-31T19:00:00Z,26.0,15.9,269.0,13.4,8.0,55.0
2026-07-31T20:00:00Z,25.8,15.9,238.0,13.8,9.0,51.0
2026-07-31T21:00:00Z,24.7,15.4,218.0,14.2,9.9,47.0
2026-07-31T22:00:00Z,23.1,14.9,213.0,14.8,10.3,43.0
2026-07-31T23:00:00Z,22.8,15.1,219.0,15.4,10.5,39.0
2026-08-01T00:00:00Z,22.5,15.0,251.0,13.1,9.8,43.0
2026-08-01T01:00:00Z,22.5,15.3,345.0,14.1,11.1,41.0
2026-08-01T02:00:00Z,23.4,16.2,465.0,15.4,12.9,40.0
2026-08-01T03:00:00Z,24.2,16.8,519.0,15.4,14.0,45.0
2026-08-01T04:00:00Z,22.6,15.8,443.0,13.1,13.8,64.0
2026-08-01T05:00:00Z,23.6,16.4,300.0,9.5,12.8,89.0
2026-08-01T06:00:00Z,26.4,18.1,195.0,6.5,11.5,110.0
2026-08-01T07:00:00Z,31.0,20.9,167.0,4.6,9.6,122.0
2026-08-01T08:00:00Z,31.8,21.4,176.0,3.3,7.4,128.0
2026-08-01T09:00:00Z,31.7,20.8,201.0,2.8,5.9,130.0
2026-08-01T10:00:00Z,32.9,20.9,244.0,3.1,5.4,126.0
2026-08-01T11:00:00Z,33.9,21.2,304.0,4.1,5.6,117.0
