timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,17.6,17.3,329.0,13.8,15.1,52.0
2026-07-31T01:00:00Z,17.5,17.1,337.0,12.6,16.4,55.0
2026-07-31T02:00:00Z,17.6,16.9,344.0,10.8,18.1,59.0
2026-07-31T03:00:00Z,17.1,16.2,345.0,8.9,18.9,68.0
2026-07-31T04:00:00Z,18.0,17.1,336.0,6.9,18.0,85.0
2026-07-31T05:00:00Z,20.4,19.6,321.0,4.9,16.1,106.0
2026-07-31T06:00:00Z,19.0,18.2,310.0,3.4,14.2,122.0
2026-07-31T07:00:00Z,19.6,18.8,308.0,2.8,12.5,127.0
2026-07-31T08:00:00Z,19.6,18.8,310.0,2.9,10.9,127.0
2026-07-31T09:00:00Z,20.4,19.7,315.0,3.3,9.6,124.0
2026-07-31T10:00:00Z,21.2,20.5,322.0,4.2,8.7,119.0
2026-07-31T11:00:00Z,21.0,20.3,331.0,5.5,8.2,112.0
2026-07-31T12:00:00Z,26.8,25.9,342.0,5.8,9.2,124.0
2026-07-31T13:00:00Z,28.0,27.2,356.0,7.6,9.9,117.0
2026-07-31T14:00:00Z,29.0,28.3,371.0,10.2,10.8,106.0
2026-07-31T15:00:00Z,29.6,28.9,385.0,12.1,11.6,98.0
2026-07-31T16:00:00Z,29.9,29.2,397.0,12.6,12.0,95.0
2026-07-31T17:00:00Z,30.2,29.3,407.0,12.6,12.2,94.0
2026-07-31T18:00:00Z,29.8,29.0,417.0,12.6,12.5,92.0
2026-07-31T19:00:00Z,29.6,28.8,427.0,13.0,12.8,87.0
2026-07-31T20:00:00Z,29.8,29.0,436.0,13.5,13.1,80.0
2026-07-31T21:00:00Z,30.0,29.3,445.0,14.4,13.6,73.0
2026-07-31T22:00:00Z,30.6,29.9,462.0,16.5,14.3,63.0
2026-07-31T23:00:00Z,30.4,29.8,479.0,19.1,15.1,52.0
2026-08-01T00:00:00Z,32.8,32.4,472.0,20.4,16.4,46.0
2026-08-01T01:00:00Z,34.1,33.6,422.0,17.7,18.2,56.0
2026-08-01T02:00:00Z,32.7,32.0,347.0,13.9,20.7,71.0
2026-08-01T03:00:00Z,28.8,28.1,285.0,10.4,21.8,88.0
2026-08-01T04:00:00Z,27.2,26.5,248.0,7.5,20.5,109.0
2026-08-01T05:00:00Z,26.6,26.0,222.0,4.9,18.0,132.0
2026-08-01T06:00:00Z,26.5,25.9,206.0,3.1,15.7,149.0
2026-08-01T07:00:00Z,27.0,26.3,198.0,2.3,14.2,157.0
2026-08-01T08:00:00Z,26.3,25.6,199.0,2.2,13.0,160.0
2026-08-01T09:00:00Z,25.8,25.1,210.0,2.7,12.1,158.0
2026-08-01T10:00:00Z,25.3,24.7,226.0,3.7,11.4,151.0
2026-08-01T11:00:00Z,25.1,24.6,253.0,5.3,11.1,141.0
2026-08-01T12:00:00Z,21.0,20.4,303.0,4.9,8.5,130.0
2026-08-01T13:00:00Z,31.5,31.1,409.0,9.8,9.8,115.0
2026-08-01T14:00:00Z,40.0,39.7,540.0,16.4,11.6,94.0
2026-08-01T15:00:00Z,38.3,38.0,611.0,20.6,12.9,80.0
2026-08-01T16:00:00Z,35.0,34.7,568.0,19.9,13.1,80.0
2026-08-01T17:00:00Z,34.0,33.8,465.0,16.7,12.8,87.0
2026-08-01T18:00:00Z,33.8,33.5,389.0,14.1,12.5,92.0
2026-08-01T19:00:00Z,32.4,32.1,377.0,13.0,12.3,93.0
2026-08-01T20:00:00Z,33.3,33.1,390.0,12.4,12.1,92.0
2026-08-01T21:00:00Z,34.5,34.2,400.0,12.4,12.2,90.0
2026-08-01T22:00:00Z,34.8,34.6,399.0,13.3,12.7,84.0
2026-08-01T23:00:00Z,36.1,35.9,394.0,14.7,13.4,76.0
2026-08-02T00:00:00Z,43.9,43.8,381.0,19.4,11.7,57.0
2026-08-02T01:00:00Z,42.1,42.0,354.0,17.3,12.6,64.0
2026-08-02T02:00:00Z,39.5,39.2,319.0,14.2,13.8,74.0
2026-08-02T03:00:00Z,37.6,37.0,284.0,11.2,14.3,88.0
2026-08-02T04:00:00Z,35.3,34.2,252.0,8.3,13.4,108.0
2026-08-02T05:00:00Z,32.6,30.7,220.0,5.4,11.8,132.0
2026-08-02T06:00:00Z,31.5,28.8,196.0,3.3,10.4,149.0
2026-08-02T07:00:00Z,31.0,27.7,182.0,2.5,9.5,156.0
2026-08-02T08:00:00Z,29.9,26.3,176.0,2.6,8.7,157.0
2026-08-02T09:00:00Z,28.8,25.0,175.0,3.0,8.2,155.0
2026-08-02T10:00:00Z,27.8,24.0,176.0,3.0,7.8,151.0
2026-08-02T11:00:00Z,27.4,23.5,184.0,3.4,7.6,144.0
2026-08-02T12:00:00Z,32.1,26.0,208.0,6.6,7.8,118.0
2026-08-02T13:00:00Z,42.5,37.4,269.0,16.3,10.8,96.0
2026-08-02T14:00:00Z,54.0,49.0,347.0,29.4,14.9,67.0
2026-08-02T15:00:00Z,64.7,60.3,392.0,37.3,17.3,47.0
2026-08-02T16:00:00Z,62.4,58.9,374.0,34.7,16.4,48.0
2026-08-02T17:00:00Z,53.1,50.5,323.0,26.7,13.9,59.0
