timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,52.3,30.3,142.0,25.2,5.4,24.0
2026-07-31T01:00:00Z,49.5,27.0,178.0,21.8,5.2,27.0
2026-07-31T02:00:00Z,46.9,24.1,227.0,16.9,4.9,32.0
2026-07-31T03:00:00Z,48.3,22.9,256.0,12.4,4.7,40.0
2026-07-31T04:00:00Z,48.5,22.6,242.0,8.7,4.5,55.0
2026-07-31T05:00:00Z,47.6,21.8,207.0,5.3,4.4,73.0
2026-07-31T06:00:00Z,53.6,24.2,186.0,3.0,4.2,88.0
2026-07-31T07:00:00Z,57.6,26.5,194.0,1.9,3.9,96.0
2026-07-31T08:00:00Z,58.9,27.6,216.0,1.7,3.6,101.0
2026-07-31T09:00:00Z,55.5,26.9,244.0,2.8,3.5,102.0
2026-07-31T10:00:00Z,43.3,22.8,281.0,5.5,3.7,98.0
2026-07-31T11:00:00Z,36.2,21.3,325.0,9.5,4.1,90.0
2026-07-31T12:00:00Z,30.6,19.1,360.0,11.3,3.4,85.0
2026-07-31T13:00:00Z,32.8,21.1,386.0,15.0,3.9,76.0
2026-07-31T14:00:00Z,31.7,22.1,404.0,19.9,4.5,65.0
2026-07-31T15:00:00Z,29.1,20.8,399.0,22.0,4.9,58.0
2026-07-31T16:00:00Z,27.0,17.4,357.0,18.6,4.7,62.0
2026-07-31T17:00:00Z,26.3,15.8,293.0,12.4,4.3,70.0
2026-07-31T18:00:00Z,25.9,15.5,240.0,7.6,3.8,76.0
2026-07-31T19:00:00Z,24.3,14.5,211.0,6.1,3.3,75.0
2026-07-31T20:00:00Z,20.7,12.4,194.0,6.1,2.9,71.0
2026-07-31T21:00:00Z,19.0,11.4,184.0,6.3,2.6,66.0
2026-07-31T22:00:00Z,18.6,11.1,180.0,6.4,2.6,60.0
2026-07-31T23:00:00Z,19.0,10.9,184.0,6.8,2.8,54.0
2026-08-01T00:00:00Z,17.3,10.7,191.0,7.6,2.9,61.0
2026-08-01T01:00:00Z,17.9,10.8,203.0,8.0,3.3,61.0
2026-08-01T02:00:00Z,19.1,11.0,218.0,8.5,3.8,62.0
2026-08-01T03:00:00Z,21.8,11.7,233.0,8.7,4.3,63.0
2026-08-01T04:00:00Z,24.4,13.0,248.0,8.5,4.6,64.0
2026-08-01T05:00:00Z,25.2,14.2,263.0,7.9,4.8,65.0
2026-08-01T06:00:00Z,27.0,15.3,269.0,7.3,4.9,68.0
2026-08-01T07:00:00Z,28.7,16.5,253.0,6.2,5.0,77.0
2026-08-01T08:00:00Z,28.1,16.5,228.0,4.9,5.0,88.0
2026-08-01T09:00:00Z,26.6,16.4,229.0,4.7,4.9,95.0
2026-08-01T10:00:00Z,24.7,15.9,280.0,5.9,4.7,94.0
2026-08-01T11:00:00Z,24.2,16.6,356.0,8.1,4.4,88.0
2026-08-01T12:00:00Z,12.0,8.9,415.0,10.7,2.6,62.0
