timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,16.4,13.2,217.0,9.0,5.9,48.0
2026-07-31T01:00:00Z,19.9,14.6,246.0,7.8,6.3,56.0
2026-07-31T02:00:00Z,21.5,15.0,280.0,6.0,6.8,66.0
2026-07-31T03:00:00Z,22.3,14.7,293.0,4.5,7.0,74.0
2026-07-31T04:00:00Z,22.2,13.7,265.0,3.4,6.5,77.0
2026-07-31T05:00:00Z,23.7,13.2,217.0,2.5,5.6,77.0
2026-07-31T06:00:00Z,24.4,12.7,189.0,2.0,4.8,76.0
2026-07-31T07:00:00Z,22.1,11.8,200.0,1.8,4.4,75.0
2026-07-31T08:00:00Z,19.0,10.4,232.0,2.0,4.1,74.0
2026-07-31T09:00:00Z,17.3,10.3,268.0,2.5,4.0,72.0
2026-07-31T10:00:00Z,17.1,11.4,311.0,3.5,4.2,70.0
2026-07-31T11:00:00Z,16.6,10.7,358.0,4.9,4.6,68.0
2026-07-31T12:00:00Z,26.0,17.2,384.0,5.9,5.0,66.0
2026-07-31T13:00:00Z,27.1,18.9,372.0,6.7,5.6,64.0
2026-07-31T14:00:00Z,28.3,20.4,339.0,7.8,6.5,61.0
2026-07-31T15:00:00Z,26.1,19.4,310.0,8.6,7.0,58.0
2026-07-31T16:00:00Z,24.8,19.0,294.0,9.0,6.8,56.0
2026-07-31T17:00:00Z,22.9,17.8,282.0,9.1,6.2,53.0
2026-07-31T18:00:00Z,20.2,15.9,267.0,9.2,5.7,51.0
2026-07-31T19:00:00Z,18.3,14.5,244.0,9.4,5.4,48.0
2026-07-31T20:00:00Z,17.5,13.8,219.0,9.6,5.2,45.0
2026-07-31T21:00:00Z,18.1,14.3,204.0,9.8,5.1,43.0
2026-07-31T22:00:00Z,19.6,15.4,201.0,10.4,5.3,40.0
2026-07-31T23:00:00Z,19.1,15.0,208.0,11.1,5.7,39.0
2026-08-01T00:00:00Z,15.8,12.0,234.0,9.3,5.0,47.0
2026-08-01T01:00:00Z,18.8,13.4,303.0,8.0,5.5,54.0
2026-08-01T02:00:00Z,19.0,13.7,391.0,6.2,6.3,65.0
2026-08-01T03:00:00Z,19.3,14.0,432.0,4.7,6.7,73.0
2026-08-01T04:00:00Z,20.1,14.2,378.0,3.6,6.5,78.0
2026-08-01T05:00:00Z,19.8,12.9,277.0,2.7,6.0,82.0
2026-08-01T06:00:00Z,21.0,13.0,205.0,2.2,5.5,83.0
2026-08-01T07:00:00Z,20.9,12.8,195.0,2.2,5.1,82.0
2026-08-01T08:00:00Z,24.7,14.7,215.0,2.5,4.8,79.0
2026-08-01T09:00:00Z,20.4,13.6,242.0,3.1,4.6,76.0
2026-08-01T10:00:00Z,20.0,13.4,278.0,4.0,4.8,73.0
2026-08-01T11:00:00Z,20.4,13.7,321.0,5.2,5.1,69.0
2026-08-01T12:00:00Z,24.9,16.9,345.0,7.3,5.9,66.0
2026-08-01T13:00:00Z,25.7,18.5,333.0,7.4,6.1,62.0
2026-08-01T14:00:00Z,26.0,18.9,302.0,7.7,6.3,57.0
2026-08-01T15:00:00Z,23.5,17.2,278.0,7.8,6.4,53.0
2026-08-01T16:00:00Z,21.5,16.2,275.0,7.8,6.1,53.0
2026-08-01T17:00:00Z,20.1,15.4,280.0,7.8,5.6,54.0
2026-08-01T18:00:00Z,18.5,14.3,272.0,7.8,5.3,55.0
