timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,1.3,1.2,106.0,3.6,3.6,48.0
2026-07-31T01:00:00Z,2.1,1.6,138.0,5.1,4.2,47.0
2026-07-31T02:00:00Z,3.8,2.6,180.0,7.2,5.0,45.0
2026-07-31T03:00:00Z,5.2,3.4,206.0,8.6,5.6,43.0
2026-07-31T04:00:00Z,5.6,4.1,197.0,8.7,5.7,41.0
2026-07-31T05:00:00Z,5.1,3.4,170.0,8.1,5.6,39.0
2026-07-31T06:00:00Z,5.4,4.0,151.0,7.4,5.4,39.0
2026-07-31T07:00:00Z,6.1,3.7,151.0,6.5,5.1,41.0
2026-07-31T08:00:00Z,8.7,4.9,159.0,5.4,4.8,44.0
2026-07-31T09:00:00Z,9.1,5.2,164.0,4.9,4.5,46.0
2026-07-31T10:00:00Z,10.7,5.6,161.0,5.4,4.4,45.0
2026-07-31T11:00:00Z,13.1,6.6,155.0,6.4,4.3,42.0
2026-07-31T12:00:00Z,10.8,6.7,150.0,9.7,5.1,37.0
2026-07-31T13:00:00Z,6.9,4.7,149.0,9.4,5.1,36.0
2026-07-31T14:00:00Z,6.5,4.2,149.0,8.9,5.2,34.0
2026-07-31T15:00:00Z,5.3,3.4,147.0,8.6,5.2,33.0
2026-07-31T16:00:00Z,5.4,3.6,141.0,8.6,5.3,32.0
2026-07-31T17:00:00Z,5.7,3.9,133.0,8.8,5.4,30.0
2026-07-31T18:00:00Z,5.7,3.7,125.0,8.6,5.4,30.0
2026-07-31T19:00:00Z,3.4,2.3,117.0,7.8,5.1,31.0
2026-07-31T20:00:00Z,2.3,1.8,108.0,6.6,4.7,33.0
2026-07-31T21:00:00Z,2.1,1.6,102.0,5.7,4.3,34.0
2026-07-31T22:00:00Z,1.7,1.4,99.0,5.3,4.1,34.0
2026-07-31T23:00:00Z,2.1,1.5,98.0,5.2,4.1,33.0
2026-08-01T00:00:00Z,4.5,2.3,102.0,4.1,4.1,42.0
2026-08-01T01:00:00Z,6.0,2.8,117.0,4.7,4.0,40.0
2026-08-01T02:00:00Z,6.1,3.5,137.0,5.5,3.9,37.0
2026-08-01T03:00:00Z,11.7,5.7,150.0,5.7,3.8,37.0
2026-08-01T04:00:00Z,15.1,7.0,147.0,4.7,3.7,42.0
2026-08-01T05:00:00Z,17.8,8.2,135.0,3.2,3.5,51.0
2026-08-01T06:00:00Z,18.6,7.3,127.0,2.1,3.4,57.0
2026-08-01T07:00:00Z,18.5,7.0,125.0,1.7,3.3,60.0
2026-08-01T08:00:00Z,16.4,6.5,126.0,1.8,3.1,61.0
2026-08-01T09:00:00Z,18.1,8.1,130.0,2.2,3.1,61.0
2026-08-01T10:00:00Z,14.5,6.8,138.0,3.0,3.1,59.0
2026-08-01T11:00:00Z,13.5,6.3,147.0,4.1,3.3,54.0
2026-08-01T12:00:00Z,16.9,8.0,155.0,6.4,3.7,44.0
2026-08-01T13:00:00Z,13.9,6.5,159.0,7.6,4.0,41.0
2026-08-01T14:00:00Z,14.8,7.6,161.0,9.2,4.5,36.0
2026-08-01T15:00:00Z,12.8,7.3,158.0,10.2,4.8,33.0
2026-08-01T16:00:00Z,9.6,6.0,148.0,9.9,4.9,32.0
2026-08-01T17:00:00Z,8.3,5.4,133.0,8.9,4.8,32.0
2026-08-01T18:00:00Z,7.0,4.2,120.0,7.9,4.7,33.0
2026-08-01T19:00:00Z,5.4,3.2,111.0,7.0,4.5,33.0
2026-08-01T20:00:00Z,4.6,2.7,104.0,6.1,4.2,34.0
2026-08-01T21:00:00Z,4.1,2.5,100.0,5.3,4.0,35.0
2026-08-01T22:00:00Z,3.1,2.0,98.0,4.7,3.8,36.0
2026-08-01T23:00:00Z,2.3,1.6,97.0,4.4,3.7,37.0
2026-08-02T00:00:00Z,4.7,2.4,101.0,4.0,3.4,36.0
2026-08-02T01:00:00Z,4.1,2.3,112.0,4.1,3.7,36.0
2026-08-02T02:00:00Z,3.9,2.7,127.0,4.3,4.0,36.0
2026-08-02T03:00:00Z,5.1,3.2,135.0,4.2,4.2,38.0
2026-08-02T04:00:00Z,9.7,4.9,131.0,3.5,3.9,42.0
2026-08-02T05:00:00Z,12.5,5.8,121.0,2.5,3.5,48.0
2026-08-02T06:00:00Z,14.3,5.9,114.0,1.8,3.2,53.0
2026-08-02T07:00:00Z,15.8,6.3,112.0,1.6,3.2,58.0
2026-08-02T08:00:00Z,13.1,6.0,113.0,1.7,3.4,61.0
2026-08-02T09:00:00Z,12.1,6.5,116.0,1.9,3.6,63.0
2026-08-02T10:00:00Z,13.0,6.8,120.0,2.1,3.6,61.0
2026-08-02T11:00:00Z,9.9,5.2,126.0,2.5,3.5,56.0
2026-08-02T12:00:00Z,25.8,12.0,133.0,4.4,4.0,50.0
2026-08-02T13:00:00Z,22.2,10.8,141.0,5.6,4.4,46.0
2026-08-02T14:00:00Z,22.2,11.1,150.0,7.3,4.9,39.0
2026-08-02T15:00:00Z,23.3,11.6,154.0,8.3,5.3,35.0
2026-08-02T16:00:00Z,23.2,11.5,151.0,8.2,5.4,34.0
2026-08-02T17:00:00Z,17.2,8.9,145.0,7.5,5.4,34.0
2026-08-02T18:00:00Z,13.2,7.0,138.0,6.8,5.3,35.0
2026-08-02T19:00:00Z,9.3,4.9,132.0,6.1,5.1,36.0
2026-08-02T20:00:00Z,7.3,3.9,126.0,5.3,4.8,37.0
2026-08-02T21:00:00Z,5.8,3.1,121.0,4.8,4.6,38.0
2026-08-02T22:00:00Z,4.9,2.7,113.0,4.8,4.7,37.0
2026-08-02T23:00:00Z,3.9,2.5,107.0,5.1,4.9,35.0
2026-08-03T00:00:00Z,3.1,2.1,112.0,4.8,4.3,38.0
2026-08-03T01:00:00Z,3.8,2.5,144.0,5.3,4.4,40.0
2026-08-03T02:00:00Z,5.0,3.3,187.0,5.9,4.6,42.0
2026-08-03T03:00:00Z,5.4,3.7,212.0,6.0,4.6,45.0
2026-08-03T04:00:00Z,5.4,3.5,198.0,5.1,4.3,49.0
2026-08-03T05:00:00Z,8.7,3.9,164.0,3.6,3.8,53.0
2026-08-03T06:00:00Z,16.1,6.3,139.0,2.6,3.5,57.0
2026-08-03T07:00:00Z,18.8,7.6,135.0,2.2,3.5,62.0
2026-08-03T08:00:00Z,19.9,9.0,140.0,2.2,3.7,67.0
2026-08-03T09:00:00Z,21.1,10.0,144.0,2.7,4.0,69.0
2026-08-03T10:00:00Z,15.5,7.9,144.0,3.9,4.2,66.0
2026-08-03T11:00:00Z,16.4,8.8,143.0,5.5,4.5,60.0
2026-08-03T12:00:00Z,25.4,11.7,147.0,4.9,4.5,56.0
2026-08-03T13:00:00Z,25.4,12.3,160.0,6.9,5.2,50.0
2026-08-03T14:00:00Z,21.2,11.7,178.0,9.6,6.2,43.0
2026-08-03T15:00:00Z,17.9,10.7,187.0,11.5,6.9,37.0
2026-08-03T16:00:00Z,13.4,8.9,181.0,11.9,7.3,34.0
2026-08-03T17:00:00Z,9.8,7.2,167.0,11.4,7.4,34.0
2026-08-03T18:00:00Z,7.7,5.7,153.0,10.5,7.3,34.0
2026-08-03T19:00:00Z,5.2,3.9,139.0,9.1,6.8,36.0
2026-08-03T20:00:00Z,4.9,3.2,125.0,7.2,5.9,39.0
2026-08-03T21:00:00Z,4.9,3.1,116.0,5.8,5.3,41.0
2026-08-03T22:00:00Z,4.9,3.1,112.0,5.1,5.0,42.0
2026-08-03T23:00:00Z,4.7,3.0,112.0,4.8,4.9,42.0
2026-08-04T00:00:00Z,7.5,4.0,119.0,4.7,4.5,43.0
2026-08-04T01:00:00Z,6.0,3.5,140.0,5.2,4.8,44.0
2026-08-04T02:00:00Z,6.1,4.1,167.0,5.7,5.2,45.0
2026-08-04T03:00:00Z,8.9,5.2,182.0,5.8,5.4,48.0
2026-08-04T04:00:00Z,16.1,7.5,172.0,4.8,5.1,55.0
2026-08-04T05:00:00Z,24.9,10.4,150.0,3.3,4.6,64.0
2026-08-04T06:00:00Z,28.6,11.8,134.0,2.2,4.2,71.0
2026-08-04T07:00:00Z,29.2,12.3,133.0,1.8,4.1,75.0
2026-08-04T08:00:00Z,27.9,12.1,139.0,1.8,4.1,76.0
2026-08-04T09:00:00Z,26.2,12.0,146.0,2.1,4.2,76.0
2026-08-04T10:00:00Z,24.6,12.1,151.0,2.7,4.4,73.0
2026-08-04T11:00:00Z,19.7,10.8,157.0,3.6,4.8,68.0
2026-08-04T12:00:00Z,16.1,8.8,164.0,7.2,4.9,49.0
2026-08-04T13:00:00Z,12.7,8.0,175.0,9.8,5.9,43.0
2026-08-04T14:00:00Z,12.8,8.8,187.0,13.4,7.2,36.0
2026-08-04T15:00:00Z,12.6,8.8,192.0,15.7,8.2,30.0
2026-08-04T16:00:00Z,12.3,8.6,186.0,15.7,8.5,29.0
2026-08-04T17:00:00Z,10.6,7.5,174.0,14.4,8.5,29.0
2026-08-04T18:00:00Z,9.5,6.8,160.0,12.9,8.2,31.0
2026-08-04T19:00:00Z,7.8,5.2,144.0,11.2,7.6,33.0
2026-08-04T20:00:00Z,6.4,4.3,126.0,9.2,6.8,36.0
2026-08-04T21:00:00Z,5.5,3.5,113.0,7.5,6.1,38.0
2026-08-04T22:00:00Z,4.5,3.0,106.0,6.2,5.6,40.0
2026-08-04T23:00:00Z,3.6,2.5,105.0,5.3,5.1,41.0
2026-08-05T00:00:00Z,6.8,3.4,115.0,4.3,4.1,43.0
2026-08-05T01:00:00Z,9.3,4.5,150.0,4.9,4.3,42.0
2026-08-05T02:00:00Z,11.0,5.7,197.0,5.7,4.5,41.0
2026-08-05T03:00:00Z,9.1,4.9,223.0,6.0,4.6,43.0
2026-08-05T04:00:00Z,8.9,4.0,206.0,5.4,4.6,49.0
2026-08-05T05:00:00Z,10.1,4.6,167.0,4.2,4.6,58.0
2026-08-05T06:00:00Z,10.7,6.0,138.0,3.3,4.5,64.0
2026-08-05T07:00:00Z,11.3,6.0,131.0,2.6,4.2,65.0
2026-08-05T08:00:00Z,9.6,4.6,134.0,2.1,3.8,64.0
2026-08-05T09:00:00Z,11.6,5.6,140.0,2.4,3.6,61.0
2026-08-05T10:00:00Z,14.0,6.9,148.0,4.1,3.8,56.0
2026-08-05T11:00:00Z,13.9,7.4,159.0,6.6,4.2,49.0
2026-08-05T12:00:00Z,16.4,7.7,169.0,6.3,4.5,44.0
2026-08-05T13:00:00Z,17.2,8.6,176.0,8.1,5.1,40.0
2026-08-05T14:00:00Z,19.0,9.8,182.0,10.5,5.9,35.0
2026-08-05T15:00:00Z,19.0,9.9,183.0,12.0,6.5,32.0
2026-08-05T16:00:00Z,15.7,9.5,178.0,11.7,6.6,32.0
2026-08-05T17:00:00Z,9.5,6.3,168.0,10.5,6.5,34.0
2026-08-05T18:00:00Z,6.8,4.6,157.0,9.2,6.3,35.0
2026-08-05T19:00:00Z,5.5,3.5,144.0,8.2,5.9,36.0
2026-08-05T20:00:00Z,4.8,3.1,129.0,7.1,5.4,36.0
2026-08-05T21:00:00Z,4.2,2.8,118.0,6.3,5.0,36.0
2026-08-05T22:00:00Z,3.7,2.5,111.0,5.8,4.9,36.0
2026-08-05T23:00:00Z,3.3,2.2,107.0,5.6,4.9,36.0
2026-08-06T00:00:00Z,7.1,3.3,112.0,4.8,4.8,38.0
2026-08-06T01:00:00Z,6.4,3.4,134.0,5.2,4.8,39.0
2026-08-06T02:00:00Z,7.9,4.4,164.0,5.7,4.7,40.0
2026-08-06T03:00:00Z,13.1,5.8,181.0,5.8,4.6,42.0
2026-08-06T04:00:00Z,16.6,7.2,171.0,5.0,4.3,46.0
2026-08-06T05:00:00Z,15.5,6.8,148.0,3.8,4.0,52.0
2026-08-06T06:00:00Z,17.7,7.1,130.0,2.8,3.7,56.0
2026-08-06T07:00:00Z,16.8,7.5,125.0,2.3,3.5,58.0
2026-08-06T08:00:00Z,17.2,7.9,127.0,2.2,3.3,59.0
2026-08-06T09:00:00Z,20.4,8.5,130.0,2.3,3.2,59.0
2026-08-06T10:00:00Z,22.0,10.2,136.0,2.8,3.3,57.0
2026-08-06T11:00:00Z,24.2,11.3,143.0,3.6,3.4,55.0
