timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,6.5,3.3,139.0,5.3,4.1,37.0
2026-07-31T01:00:00Z,9.4,4.8,192.0,5.1,4.2,37.0
2026-07-31T02:00:00Z,11.3,6.2,263.0,4.9,4.3,38.0
2026-07-31T03:00:00Z,14.1,7.1,301.0,4.4,4.2,42.0
2026-07-31T04:00:00Z,15.1,7.5,273.0,3.5,3.9,51.0
2026-07-31T05:00:00Z,14.5,7.3,213.0,2.3,3.4,62.0
2026-07-31T06:00:00Z,13.4,7.0,173.0,1.6,3.1,71.0
2026-07-31T07:00:00Z,14.5,7.3,174.0,1.5,2.9,74.0
2026-07-31T08:00:00Z,12.7,6.6,194.0,1.7,2.9,75.0
2026-07-31T09:00:00Z,9.5,5.8,223.0,2.5,2.9,74.0
2026-07-31T10:00:00Z,8.2,5.3,265.0,4.0,2.9,73.0
2026-07-31T11:00:00Z,7.2,5.4,315.0,5.9,3.1,70.0
2026-07-31T12:00:00Z,6.4,5.5,352.0,8.4,3.1,63.0
2026-07-31T13:00:00Z,7.0,6.0,369.0,9.4,3.9,57.0
2026-07-31T14:00:00Z,9.1,7.1,373.0,10.8,5.0,50.0
2026-07-31T15:00:00Z,11.3,8.1,359.0,11.7,5.9,44.0
2026-07-31T16:00:00Z,12.5,8.6,318.0,11.7,6.4,42.0
2026-07-31T17:00:00Z,11.6,8.0,260.0,11.1,6.7,43.0
2026-07-31T18:00:00Z,10.2,7.1,211.0,10.4,6.7,43.0
2026-07-31T19:00:00Z,9.8,6.4,181.0,9.5,6.3,42.0
2026-07-31T20:00:00Z,9.4,6.1,161.0,8.4,5.7,41.0
2026-07-31T21:00:00Z,8.6,5.7,148.0,7.7,5.2,39.0
2026-07-31T22:00:00Z,8.1,5.4,138.0,7.7,5.0,35.0
2026-07-31T23:00:00Z,7.5,5.0,135.0,8.0,4.9,30.0
2026-08-01T00:00:00Z,6.7,4.5,147.0,8.8,5.6,26.0
2026-08-01T01:00:00Z,7.3,5.0,188.0,7.8,5.3,29.0
2026-08-01T02:00:00Z,8.4,5.5,244.0,6.4,4.9,33.0
2026-08-01T03:00:00Z,8.4,5.1,277.0,5.1,4.5,39.0
2026-08-01T04:00:00Z,8.0,4.9,262.0,3.9,4.1,48.0
2026-08-01T05:00:00Z,7.3,4.4,223.0,2.9,3.6,58.0
2026-08-01T06:00:00Z,6.3,4.0,196.0,2.1,3.2,66.0
2026-08-01T07:00:00Z,5.7,3.6,186.0,1.7,2.9,71.0
2026-08-01T08:00:00Z,5.4,3.6,187.0,1.5,2.7,73.0
2026-08-01T09:00:00Z,5.5,3.7,216.0,2.0,2.7,75.0
2026-08-01T10:00:00Z,10.2,5.2,293.0,3.2,2.8,77.0
2026-08-01T11:00:00Z,18.0,8.3,398.0,5.0,3.1,77.0
2026-08-01T12:00:00Z,13.9,8.6,486.0,9.1,3.7,69.0
2026-08-01T13:00:00Z,17.5,11.6,555.0,12.0,4.6,64.0
2026-08-01T14:00:00Z,22.4,15.1,607.0,15.8,5.8,57.0
2026-08-01T15:00:00Z,27.6,17.2,607.0,17.7,6.5,52.0
2026-08-01T16:00:00Z,26.6,15.5,516.0,15.7,6.0,50.0
2026-08-01T17:00:00Z,20.1,12.8,372.0,11.8,5.0,50.0
