timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,19.0,18.7,260.0,9.8,9.1,67.0
2026-07-31T01:00:00Z,18.7,18.5,263.0,8.8,9.6,70.0
2026-07-31T02:00:00Z,17.8,17.4,265.0,7.4,10.1,75.0
2026-07-31T03:00:00Z,16.4,15.9,264.0,6.0,10.4,81.0
2026-07-31T04:00:00Z,16.8,15.9,258.0,4.8,10.0,88.0
2026-07-31T05:00:00Z,15.5,14.4,250.0,3.7,9.3,95.0
2026-07-31T06:00:00Z,15.3,14.3,242.0,2.9,8.6,101.0
2026-07-31T07:00:00Z,15.5,14.4,235.0,2.4,8.1,106.0
2026-07-31T08:00:00Z,15.4,14.4,229.0,2.2,7.7,110.0
2026-07-31T09:00:00Z,16.5,15.4,229.0,2.4,7.4,112.0
2026-07-31T10:00:00Z,18.4,17.2,238.0,3.2,7.2,111.0
2026-07-31T11:00:00Z,19.8,18.7,253.0,4.5,7.1,108.0
2026-07-31T12:00:00Z,31.1,29.6,270.0,4.9,7.6,127.0
2026-07-31T13:00:00Z,31.4,30.2,291.0,6.1,8.1,120.0
2026-07-31T14:00:00Z,31.4,30.3,314.0,7.8,8.7,110.0
2026-07-31T15:00:00Z,30.4,29.4,329.0,9.1,9.2,102.0
2026-07-31T16:00:00Z,29.1,28.1,328.0,9.4,9.3,98.0
2026-07-31T17:00:00Z,28.3,27.4,319.0,9.3,9.3,97.0
2026-07-31T18:00:00Z,28.2,27.1,310.0,9.2,9.3,95.0
2026-07-31T19:00:00Z,28.2,27.1,306.0,9.2,9.5,92.0
2026-07-31T20:00:00Z,28.3,27.1,302.0,9.2,9.7,90.0
2026-07-31T21:00:00Z,28.3,27.1,296.0,9.5,10.1,86.0
2026-07-31T22:00:00Z,28.5,27.3,283.0,10.3,10.6,80.0
2026-07-31T23:00:00Z,28.9,27.6,267.0,11.4,11.2,74.0
2026-08-01T00:00:00Z,28.8,27.8,259.0,12.0,10.9,71.0
2026-08-01T01:00:00Z,30.5,29.5,269.0,11.3,11.6,74.0
2026-08-01T02:00:00Z,31.1,29.9,287.0,10.2,12.6,80.0
2026-08-01T03:00:00Z,31.9,30.7,296.0,8.9,13.4,88.0
2026-08-01T04:00:00Z,32.0,30.9,287.0,7.1,13.9,102.0
2026-08-01T05:00:00Z,30.6,29.6,269.0,5.1,14.2,119.0
2026-08-01T06:00:00Z,28.9,28.1,256.0,3.6,14.2,133.0
2026-08-01T07:00:00Z,28.6,27.8,251.0,2.7,13.6,145.0
2026-08-01T08:00:00Z,29.2,28.5,250.0,2.2,12.6,154.0
2026-08-01T09:00:00Z,30.7,30.0,255.0,2.5,11.7,157.0
2026-08-01T10:00:00Z,31.7,31.1,267.0,3.9,11.0,151.0
2026-08-01T11:00:00Z,32.5,31.9,284.0,6.1,10.4,139.0
2026-08-01T12:00:00Z,26.2,25.6,303.0,5.0,9.0,135.0
2026-08-01T13:00:00Z,31.4,31.0,324.0,9.5,10.3,119.0
2026-08-01T14:00:00Z,36.9,36.6,346.0,15.7,12.0,97.0
2026-08-01T15:00:00Z,38.6,38.3,367.0,19.8,13.3,81.0
2026-08-01T16:00:00Z,39.2,39.0,393.0,19.8,13.7,78.0
2026-08-01T17:00:00Z,40.0,39.7,418.0,17.6,13.7,81.0
2026-08-01T18:00:00Z,40.5,40.2,420.0,15.4,13.4,84.0
2026-08-01T19:00:00Z,39.6,39.2,376.0,13.6,12.6,87.0
2026-08-01T20:00:00Z,37.7,37.4,308.0,11.8,11.6,90.0
2026-08-01T21:00:00Z,35.7,35.5,265.0,10.7,10.8,91.0
2026-08-01T22:00:00Z,34.5,34.2,272.0,11.0,10.5,88.0
2026-08-01T23:00:00Z,34.5,34.2,303.0,11.9,10.6,83.0
2026-08-02T00:00:00Z,22.8,22.6,329.0,10.6,7.1,77.0
2026-08-02T01:00:00Z,20.9,20.8,340.0,10.3,7.8,78.0
2026-08-02T02:00:00Z,19.4,19.3,345.0,9.7,8.8,79.0
2026-08-02T03:00:00Z,21.0,20.8,344.0,8.8,9.4,85.0
2026-08-02T04:00:00Z,23.2,22.7,335.0,7.1,9.4,98.0
2026-08-02T05:00:00Z,23.9,23.2,319.0,5.0,9.1,116.0
2026-08-02T06:00:00Z,24.2,23.1,304.0,3.3,8.6,130.0
2026-08-02T07:00:00Z,24.2,22.8,290.0,2.4,7.9,139.0
2026-08-02T08:00:00Z,24.9,23.3,277.0,2.1,7.1,145.0
2026-08-02T09:00:00Z,25.3,23.3,268.0,2.0,6.4,148.0
2026-08-02T10:00:00Z,25.0,22.8,262.0,1.7,5.9,149.0
