timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,4.0,2.2,135.0,3.7,2.7,32.0
2026-07-31T01:00:00Z,4.3,2.4,185.0,4.7,2.9,30.0
2026-07-31T02:00:00Z,5.6,3.5,250.0,6.0,3.2,29.0
2026-07-31T03:00:00Z,6.4,4.0,289.0,6.6,3.3,30.0
2026-07-31T04:00:00Z,7.4,4.1,273.0,5.7,3.2,38.0
2026-07-31T05:00:00Z,9.5,4.5,230.0,4.1,2.9,49.0
2026-07-31T06:00:00Z,11.5,5.4,199.0,2.8,2.6,58.0
2026-07-31T07:00:00Z,12.1,5.8,189.0,2.2,2.4,65.0
2026-07-31T08:00:00Z,13.8,6.4,192.0,2.0,2.2,70.0
2026-07-31T09:00:00Z,13.5,6.5,213.0,2.5,2.1,71.0
2026-07-31T10:00:00Z,13.3,6.5,273.0,4.1,2.1,66.0
2026-07-31T11:00:00Z,10.7,5.6,352.0,6.3,2.2,58.0
2026-07-31T12:00:00Z,15.3,9.0,402.0,13.0,3.0,48.0
2026-07-31T13:00:00Z,14.2,9.2,395.0,14.2,3.5,43.0
2026-07-31T14:00:00Z,12.8,9.0,358.0,15.7,4.1,36.0
2026-07-31T15:00:00Z,11.0,8.1,322.0,16.4,4.5,31.0
2026-07-31T16:00:00Z,9.4,6.9,300.0,15.5,4.5,28.0
2026-07-31T17:00:00Z,7.7,5.9,280.0,13.7,4.3,27.0
2026-07-31T18:00:00Z,5.6,4.6,254.0,11.8,4.1,27.0
2026-07-31T19:00:00Z,3.8,3.3,213.0,10.0,3.9,28.0
2026-07-31T20:00:00Z,2.9,2.6,167.0,8.1,3.6,29.0
2026-07-31T21:00:00Z,2.7,2.2,135.0,6.6,3.4,30.0
2026-07-31T22:00:00Z,3.0,2.2,120.0,5.7,3.3,31.0
2026-07-31T23:00:00Z,3.2,2.1,119.0,5.2,3.4,31.0
2026-08-01T00:00:00Z,3.0,2.3,143.0,5.8,3.5,31.0
2026-08-01T01:00:00Z,2.8,2.3,219.0,6.6,3.6,30.0
2026-08-01T02:00:00Z,3.2,2.7,319.0,7.7,3.7,30.0
2026-08-01T03:00:00Z,4.8,3.5,375.0,8.0,3.7,32.0
2026-08-01T04:00:00Z,4.6,3.2,341.0,6.7,3.4,39.0
2026-08-01T05:00:00Z,4.9,3.0,262.0,4.6,2.9,50.0
2026-08-01T06:00:00Z,5.5,3.1,204.0,3.0,2.5,59.0
2026-08-01T07:00:00Z,9.6,4.4,187.0,2.2,2.3,66.0
2026-08-01T08:00:00Z,14.3,6.2,191.0,1.8,2.1,72.0
2026-08-01T09:00:00Z,19.3,7.9,225.0,2.6,2.1,75.0
2026-08-01T10:00:00Z,20.0,8.0,319.0,5.2,2.3,73.0
2026-08-01T11:00:00Z,17.5,8.7,443.0,8.9,2.6,67.0
2026-08-01T12:00:00Z,11.5,6.5,521.0,8.9,2.4,48.0
2026-08-01T13:00:00Z,8.5,6.0,511.0,12.2,3.0,42.0
2026-08-01T14:00:00Z,7.5,5.9,454.0,16.7,3.7,34.0
2026-08-01T15:00:00Z,6.0,5.2,394.0,19.2,4.2,28.0
2026-08-01T16:00:00Z,5.1,4.3,344.0,18.0,4.2,27.0
2026-08-01T17:00:00Z,5.7,4.3,292.0,14.9,3.8,29.0
2026-08-01T18:00:00Z,5.4,3.9,245.0,11.9,3.5,31.0
2026-08-01T19:00:00Z,4.0,2.9,203.0,9.6,3.2,33.0
2026-08-01T20:00:00Z,2.7,2.1,166.0,7.5,2.9,35.0
2026-08-01T21:00:00Z,2.8,2.0,140.0,5.8,2.7,36.0
2026-08-01T22:00:00Z,4.9,2.6,127.0,4.8,2.6,37.0
2026-08-01T23:00:00Z,5.6,2.9,126.0,4.4,2.6,37.0
2026-08-02T00:00:00Z,2.5,1.8,140.0,4.7,2.9,37.0
2026-08-02T01:00:00Z,2.3,1.8,185.0,5.0,3.0,38.0
2026-08-02T02:00:00Z,2.7,2.3,246.0,5.4,3.0,40.0
2026-08-02T03:00:00Z,2.5,2.2,279.0,5.3,3.0,43.0
2026-08-02T04:00:00Z,2.3,2.0,257.0,4.3,2.7,49.0
2026-08-02T05:00:00Z,2.6,2.0,208.0,2.9,2.4,57.0
2026-08-02T06:00:00Z,4.5,2.5,171.0,1.9,2.1,63.0
2026-08-02T07:00:00Z,9.3,4.2,159.0,1.6,1.9,66.0
2026-08-02T08:00:00Z,13.6,5.8,160.0,1.7,1.9,66.0
2026-08-02T09:00:00Z,16.5,6.9,170.0,2.4,1.9,65.0
2026-08-02T10:00:00Z,19.9,8.2,194.0,4.2,2.1,62.0
2026-08-02T11:00:00Z,19.4,8.4,229.0,6.7,2.4,57.0
2026-08-02T12:00:00Z,17.7,9.5,258.0,10.2,3.0,49.0
2026-08-02T13:00:00Z,19.8,10.6,280.0,10.6,3.3,46.0
2026-08-02T14:00:00Z,15.7,9.1,296.0,11.2,3.8,43.0
2026-08-02T15:00:00Z,13.5,8.1,301.0,11.3,4.1,40.0
2026-08-02T16:00:00Z,15.4,8.5,289.0,10.8,4.1,38.0
2026-08-02T17:00:00Z,14.5,8.1,264.0,9.8,4.0,37.0
2026-08-02T18:00:00Z,13.2,7.4,237.0,8.8,3.8,36.0
2026-08-02T19:00:00Z,11.4,6.2,206.0,7.8,3.6,36.0
2026-08-02T20:00:00Z,10.7,5.5,172.0,6.6,3.3,36.0
2026-08-02T21:00:00Z,10.3,5.1,148.0,5.8,3.1,37.0
2026-08-02T22:00:00Z,10.9,5.2,133.0,5.2,3.1,37.0
2026-08-02T23:00:00Z,11.4,5.3,129.0,4.9,3.1,38.0
2026-08-03T00:00:00Z,8.3,4.1,149.0,5.5,3.4,37.0
2026-08-03T01:00:00Z,8.3,4.3,221.0,6.9,3.7,36.0
2026-08-03T02:00:00Z,11.1,5.8,318.0,8.7,4.1,34.0
2026-08-03T03:00:00Z,14.1,6.6,372.0,9.5,4.3,36.0
2026-08-03T04:00:00Z,17.9,7.7,339.0,8.0,4.0,44.0
2026-08-03T05:00:00Z,28.1,10.7,264.0,5.5,3.4,55.0
2026-08-03T06:00:00Z,22.8,9.1,215.0,3.9,3.0,63.0
2026-08-03T07:00:00Z,27.8,10.7,216.0,3.9,3.0,66.0
2026-08-03T08:00:00Z,25.3,10.3,243.0,4.9,3.2,65.0
2026-08-03T09:00:00Z,21.1,10.0,289.0,6.8,3.5,63.0
2026-08-03T10:00:00Z,17.2,9.3,370.0,10.1,3.7,58.0
2026-08-03T11:00:00Z,13.6,8.5,470.0,14.3,4.0,52.0
2026-08-03T12:00:00Z,25.6,12.2,529.0,10.3,3.6,59.0
2026-08-03T13:00:00Z,25.6,15.1,515.0,14.6,4.3,52.0
2026-08-03T14:00:00Z,25.2,15.8,460.0,20.4,5.3,43.0
2026-08-03T15:00:00Z,21.6,13.6,408.0,23.9,5.9,36.0
2026-08-03T16:00:00Z,19.5,12.2,375.0,23.1,5.9,34.0
2026-08-03T17:00:00Z,13.6,9.4,345.0,20.1,5.4,34.0
2026-08-03T18:00:00Z,10.6,7.9,310.0,16.9,5.0,35.0
2026-08-03T19:00:00Z,7.4,5.7,260.0,14.0,4.6,36.0
2026-08-03T20:00:00Z,5.7,4.4,204.0,11.0,4.1,38.0
2026-08-03T21:00:00Z,5.1,3.7,166.0,8.6,3.7,39.0
2026-08-03T22:00:00Z,5.0,3.4,152.0,7.2,3.5,40.0
2026-08-03T23:00:00Z,5.2,3.3,155.0,6.4,3.5,40.0
2026-08-04T00:00:00Z,4.1,2.9,176.0,6.9,4.0,39.0
2026-08-04T01:00:00Z,3.8,3.0,235.0,7.9,4.1,39.0
2026-08-04T02:00:00Z,4.5,3.7,312.0,9.2,4.3,39.0
2026-08-04T03:00:00Z,5.0,4.0,354.0,9.8,4.3,40.0
2026-08-04T04:00:00Z,5.3,3.8,325.0,9.0,4.0,43.0
2026-08-04T05:00:00Z,8.6,4.2,262.0,7.4,3.7,48.0
2026-08-04T06:00:00Z,10.4,5.5,216.0,6.1,3.3,53.0
2026-08-04T07:00:00Z,11.3,6.3,205.0,4.9,3.0,59.0
2026-08-04T08:00:00Z,11.5,6.4,213.0,4.1,2.7,65.0
2026-08-04T09:00:00Z,11.1,5.9,241.0,5.1,2.7,67.0
2026-08-04T10:00:00Z,10.2,6.2,308.0,9.6,3.0,61.0
2026-08-04T11:00:00Z,10.2,7.4,395.0,15.9,3.6,51.0
2026-08-04T12:00:00Z,9.6,8.1,455.0,18.6,3.7,52.0
2026-08-04T13:00:00Z,11.0,9.5,463.0,21.3,4.1,46.0
2026-08-04T14:00:00Z,12.3,10.0,442.0,24.9,4.7,39.0
2026-08-04T15:00:00Z,12.4,9.8,415.0,26.7,5.2,33.0
2026-08-04T16:00:00Z,11.3,8.6,389.0,25.1,5.4,32.0
2026-08-04T17:00:00Z,11.0,8.5,356.0,21.6,5.5,33.0
2026-08-04T18:00:00Z,10.9,8.0,317.0,18.1,5.3,34.0
2026-08-04T19:00:00Z,9.4,6.6,265.0,14.9,4.8,36.0
2026-08-04T20:00:00Z,7.9,5.4,206.0,11.6,4.0,38.0
2026-08-04T21:00:00Z,5.9,4.0,165.0,9.1,3.5,39.0
2026-08-04T22:00:00Z,5.2,3.4,145.0,7.8,3.5,39.0
2026-08-04T23:00:00Z,5.0,3.2,143.0,7.3,3.8,39.0
2026-08-05T00:00:00Z,4.4,3.3,170.0,7.4,3.9,38.0
2026-08-05T01:00:00Z,5.2,3.6,259.0,9.5,4.2,35.0
2026-08-05T02:00:00Z,8.3,4.6,376.0,12.3,4.7,32.0
2026-08-05T03:00:00Z,9.7,6.4,440.0,13.3,4.8,33.0
2026-08-05T04:00:00Z,10.6,6.5,392.0,10.9,4.3,41.0
2026-08-05T05:00:00Z,14.2,7.3,289.0,6.7,3.4,54.0
2026-08-05T06:00:00Z,18.6,8.6,220.0,3.8,2.8,63.0
2026-08-05T07:00:00Z,19.3,8.6,226.0,3.1,2.7,66.0
2026-08-05T08:00:00Z,20.5,9.6,266.0,3.6,2.8,66.0
2026-08-05T09:00:00Z,21.7,10.4,309.0,5.3,3.0,64.0
2026-08-05T10:00:00Z,20.8,11.2,350.0,8.7,3.1,60.0
2026-08-05T11:00:00Z,21.5,11.7,394.0,13.2,3.3,55.0
2026-08-05T12:00:00Z,16.5,10.0,422.0,12.4,3.3,50.0
2026-08-05T13:00:00Z,16.4,10.6,427.0,15.7,4.0,44.0
2026-08-05T14:00:00Z,16.1,11.1,416.0,20.1,5.0,35.0
2026-08-05T15:00:00Z,15.0,10.4,399.0,22.8,5.6,29.0
2026-08-05T16:00:00Z,14.2,9.7,378.0,22.4,5.5,27.0
2026-08-05T17:00:00Z,13.0,9.1,350.0,20.3,5.0,28.0
2026-08-05T18:00:00Z,10.9,7.8,315.0,17.9,4.6,29.0
2026-08-05T19:00:00Z,8.8,6.1,264.0,15.3,4.3,30.0
2026-08-05T20:00:00Z,6.7,4.9,206.0,12.4,4.1,32.0
2026-08-05T21:00:00Z,5.0,3.9,165.0,10.1,3.9,33.0
2026-08-05T22:00:00Z,4.0,3.1,149.0,8.6,3.9,33.0
2026-08-05T23:00:00Z,4.2,3.0,150.0,7.7,4.0,32.0
2026-08-06T00:00:00Z,6.1,3.8,171.0,6.9,4.0,34.0
2026-08-06T01:00:00Z,6.5,4.0,230.0,7.9,4.2,33.0
2026-08-06T02:00:00Z,8.1,5.5,308.0,9.2,4.5,32.0
2026-08-06T03:00:00Z,8.5,5.4,354.0,9.6,4.6,34.0
2026-08-06T04:00:00Z,9.7,5.6,334.0,8.1,4.2,42.0
2026-08-06T05:00:00Z,14.0,6.9,280.0,5.6,3.5,54.0
2026-08-06T06:00:00Z,16.3,7.9,241.0,4.0,3.0,63.0
2026-08-06T07:00:00Z,19.0,8.5,229.0,3.7,3.0,68.0
2026-08-06T08:00:00Z,20.5,10.2,231.0,4.1,3.1,70.0
2026-08-06T09:00:00Z,22.1,11.0,254.0,5.7,3.3,70.0
2026-08-06T10:00:00Z,24.1,12.0,318.0,9.1,3.4,66.0
2026-08-06T11:00:00Z,25.8,12.1,403.0,13.6,3.4,60.0
2026-08-06T12:00:00Z,30.6,14.9,451.0,13.5,3.5,56.0
2026-08-06T13:00:00Z,27.1,15.5,428.0,15.8,4.2,51.0
2026-08-06T14:00:00Z,30.4,17.1,369.0,18.8,5.0,44.0
2026-08-06T15:00:00Z,22.5,14.1,319.0,20.4,5.6,39.0
2026-08-06T16:00:00Z,18.4,11.8,299.0,19.4,5.5,36.0
2026-08-06T17:00:00Z,14.5,9.9,288.0,16.9,5.1,35.0
2026-08-06T18:00:00Z,10.8,7.9,269.0,14.3,4.7,35.0
2026-08-06T19:00:00Z,7.3,5.6,229.0,11.9,4.2,36.0
2026-08-06T20:00:00Z,5.2,4.0,180.0,9.4,3.8,37.0
2026-08-06T21:00:00Z,4.2,3.2,147.0,7.4,3.4,38.0
2026-08-06T22:00:00Z,4.1,3.0,131.0,6.2,3.3,39.0
2026-08-06T23:00:00Z,3.9,2.7,131.0,5.5,3.3,39.0
2026-08-07T00:00:00Z,4.4,2.7,158.0,5.6,3.4,38.0
2026-08-07T01:00:00Z,5.0,3.1,244.0,7.1,3.6,37.0
2026-08-07T02:00:00Z,7.0,4.6,359.0,9.1,3.9,35.0
2026-08-07T03:00:00Z,8.2,5.2,422.0,9.9,3.9,36.0
2026-08-07T04:00:00Z,7.9,5.1,381.0,8.1,3.5,42.0
2026-08-07T05:00:00Z,6.7,4.3,288.0,5.2,2.8,51.0
2026-08-07T06:00:00Z,6.7,3.8,221.0,3.9,2.4,57.0
2026-08-07T07:00:00Z,8.1,4.3,200.0,5.5,2.6,56.0
2026-08-07T08:00:00Z,10.0,5.9,205.0,8.7,3.0,52.0
2026-08-07T09:00:00Z,10.6,6.8,250.0,12.1,3.5,47.0
2026-08-07T10:00:00Z,12.5,8.1,376.0,15.9,3.9,42.0
2026-08-07T11:00:00Z,13.9,8.8,543.0,19.9,4.3,36.0
2026-08-07T12:00:00Z,8.2,5.8,645.0,12.6,3.1,45.0
2026-08-07T13:00:00Z,13.2,8.7,627.0,16.8,3.8,38.0
2026-08-07T14:00:00Z,12.9,9.3,544.0,22.4,4.9,29.0
2026-08-07T15:00:00Z,11.3,8.7,461.0,25.5,5.5,23.0
2026-08-07T16:00:00Z,8.5,7.2,395.0,24.1,5.4,22.0
2026-08-07T17:00:00Z,6.4,5.8,328.0,20.2,5.0,24.0
2026-08-07T18:00:00Z,5.0,4.7,268.0,16.4,4.5,26.0
2026-08-07T19:00:00Z,4.0,3.7,216.0,13.4,4.1,28.0
2026-08-07T20:00:00Z,3.1,2.9,171.0,10.6,3.6,30.0
2026-08-07T21:00:00Z,2.8,2.4,142.0,8.4,3.3,31.0
2026-08-07T22:00:00Z,3.0,2.3,127.0,7.0,3.2,32.0
2026-08-07T23:00:00Z,3.0,2.2,127.0,6.1,3.2,32.0
2026-08-08T00:00:00Z,1.9,1.8,154.0,6.1,3.2,33.0
2026-08-08T01:00:00Z,2.3,1.9,235.0,7.5,3.4,31.0
2026-08-08T02:00:00Z,3.8,3.2,343.0,9.4,3.6,29.0
2026-08-08T03:00:00Z,5.5,4.3,402.0,10.1,3.7,31.0
2026-08-08T04:00:00Z,6.6,4.5,358.0,8.3,3.5,41.0
2026-08-08T05:00:00Z,8.3,5.0,265.0,5.3,3.1,54.0
2026-08-08T06:00:00Z,9.4,5.4,210.0,3.4,2.8,63.0
2026-08-08T07:00:00Z,14.1,6.9,233.0,3.5,2.6,64.0
2026-08-08T08:00:00Z,10.5,5.5,295.0,4.8,2.6,61.0
2026-08-08T09:00:00Z,11.3,6.5,362.0,7.0,2.6,58.0
2026-08-08T10:00:00Z,13.3,7.9,439.0,10.6,2.7,55.0
2026-08-08T11:00:00Z,15.2,8.9,522.0,15.1,3.0,52.0
2026-08-08T12:00:00Z,22.1,12.5,562.0,18.5,3.2,42.0
2026-08-08T13:00:00Z,19.4,12.9,528.0,22.0,4.0,37.0
2026-08-08T14:00:00Z,17.8,12.9,452.0,26.6,5.1,29.0
2026-08-08T15:00:00Z,15.3,11.7,381.0,28.7,5.7,24.0
2026-08-08T16:00:00Z,11.9,9.7,332.0,26.1,5.6,24.0
2026-08-08T17:00:00Z,9.0,7.7,289.0,21.0,5.0,26.0
2026-08-08T18:00:00Z,6.9,6.0,248.0,16.3,4.4,28.0
2026-08-08T19:00:00Z,5.0,4.3,205.0,12.9,3.9,30.0
2026-08-08T20:00:00Z,3.8,3.3,164.0,9.8,3.4,32.0
2026-08-08T21:00:00Z,3.2,2.7,138.0,7.5,3.0,33.0
2026-08-08T22:00:00Z,3.2,2.5,133.0,6.2,2.9,34.0
2026-08-08T23:00:00Z,3.4,2.4,144.0,5.7,2.8,34.0
2026-08-09T00:00:00Z,2.8,2.2,161.0,6.0,3.0,34.0
2026-08-09T01:00:00Z,2.8,2.2,191.0,5.9,3.0,35.0
2026-08-09T02:00:00Z,3.2,2.4,228.0,5.7,2.9,37.0
2026-08-09T03:00:00Z,4.3,2.8,247.0,5.2,2.8,40.0
2026-08-09T04:00:00Z,4.8,3.4,232.0,4.2,2.7,47.0
2026-08-09T05:00:00Z,7.0,3.8,198.0,2.9,2.5,55.0
2026-08-09T06:00:00Z,7.1,3.8,172.0,2.1,2.4,61.0
2026-08-09T07:00:00Z,9.1,4.6,158.0,1.9,2.3,63.0
2026-08-09T08:00:00Z,10.7,5.2,151.0,2.2,2.1,63.0
2026-08-09T09:00:00Z,15.7,7.4,162.0,3.0,2.2,62.0
2026-08-09T10:00:00Z,13.6,6.8,204.0,4.7,2.5,62.0
2026-08-09T11:00:00Z,12.5,7.2,264.0,6.9,3.0,62.0
2026-08-09T12:00:00Z,22.1,12.1,311.0,9.9,3.5,55.0
2026-08-09T13:00:00Z,21.9,14.1,337.0,13.1,4.4,49.0
2026-08-09T14:00:00Z,20.8,14.2,351.0,17.4,5.5,42.0
2026-08-09T15:00:00Z,18.4,13.1,348.0,19.9,6.3,36.0
2026-08-09T16:00:00Z,15.1,11.2,320.0,18.9,6.3,35.0
2026-08-09T17:00:00Z,12.9,10.1,275.0,16.2,5.9,36.0
2026-08-09T18:00:00Z,11.0,8.8,233.0,13.5,5.4,36.0
2026-08-09T19:00:00Z,8.9,7.1,198.0,11.5,4.8,35.0
2026-08-09T20:00:00Z,7.6,6.0,166.0,9.6,4.2,34.0
2026-08-09T21:00:00Z,6.7,5.1,144.0,8.1,3.7,33.0
2026-08-09T22:00:00Z,6.2,4.5,130.0,7.0,3.4,32.0
2026-08-09T23:00:00Z,5.8,4.0,126.0,6.2,3.3,31.0
2026-08-10T00:00:00Z,5.6,3.9,144.0,6.0,3.4,32.0
2026-08-10T01:00:00Z,5.6,4.1,209.0,7.2,3.7,31.0
2026-08-10T02:00:00Z,5.8,4.1,296.0,8.8,4.0,29.0
2026-08-10T03:00:00Z,6.6,4.9,347.0,9.3,4.1,31.0
2026-08-10T04:00:00Z,7.1,4.9,324.0,7.8,3.8,40.0
2026-08-10T05:00:00Z,9.0,5.4,265.0,5.2,3.3,52.0
2026-08-10T06:00:00Z,11.3,6.3,222.0,3.2,2.9,63.0
2026-08-10T07:00:00Z,13.0,7.0,206.0,2.2,2.6,71.0
2026-08-10T08:00:00Z,14.2,7.5,205.0,1.8,2.3,77.0
2026-08-10T09:00:00Z,14.6,7.4,238.0,2.8,2.3,79.0
2026-08-10T10:00:00Z,15.4,7.6,334.0,5.9,2.5,73.0
2026-08-10T11:00:00Z,14.8,8.4,464.0,10.4,3.0,63.0
2026-08-10T12:00:00Z,14.3,9.8,558.0,17.4,3.4,50.0
2026-08-10T13:00:00Z,13.8,10.3,589.0,22.4,4.4,42.0
2026-08-10T14:00:00Z,16.1,12.9,585.0,29.1,5.7,31.0
2026-08-10T15:00:00Z,16.4,13.3,558.0,32.8,6.6,23.0
2026-08-10T16:00:00Z,15.2,12.2,503.0,30.8,6.6,22.0
2026-08-10T17:00:00Z,14.0,11.2,425.0,25.8,6.0,24.0
2026-08-10T18:00:00Z,12.5,10.0,351.0,21.1,5.5,26.0
2026-08-10T19:00:00Z,10.7,8.4,286.0,17.8,5.0,26.0
2026-08-10T20:00:00Z,9.2,7.2,224.0,14.8,4.5,26.0
2026-08-10T21:00:00Z,8.0,6.2,182.0,12.4,4.1,26.0
2026-08-10T22:00:00Z,7.5,5.6,161.0,10.8,4.1,26.0
2026-08-10T23:00:00Z,7.6,5.4,159.0,9.9,4.2,26.0
2026-08-11T00:00:00Z,7.4,5.3,182.0,10.7,4.6,24.0
2026-08-11T01:00:00Z,7.4,5.5,253.0,10.8,4.7,25.0
2026-08-11T02:00:00Z,8.2,6.3,349.0,10.7,4.8,26.0
2026-08-11T03:00:00Z,7.5,5.5,403.0,10.1,4.7,30.0
2026-08-11T04:00:00Z,8.2,5.6,374.0,8.3,4.3,39.0
2026-08-11T05:00:00Z,9.5,5.9,303.0,5.8,3.8,51.0
2026-08-11T06:00:00Z,12.0,6.9,251.0,3.9,3.3,62.0
2026-08-11T07:00:00Z,13.4,7.4,227.0,2.8,2.9,71.0
2026-08-11T08:00:00Z,14.2,7.8,222.0,2.4,2.6,80.0
2026-08-11T09:00:00Z,14.7,8.1,263.0,2.9,2.5,84.0
2026-08-11T10:00:00Z,15.0,8.2,399.0,4.8,2.6,82.0
2026-08-11T11:00:00Z,13.6,8.5,581.0,7.7,3.0,77.0
2026-08-11T12:00:00Z,20.8,12.6,690.0,18.1,3.5,57.0
2026-08-11T13:00:00Z,21.1,14.5,663.0,21.9,4.5,50.0
2026-08-11T14:00:00Z,21.9,15.7,563.0,27.0,5.8,41.0
