timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,146.2,37.7,334.0,19.9,18.9,59.0
2026-07-31T01:00:00Z,89.4,32.6,368.0,19.5,19.6,63.0
2026-07-31T02:00:00Z,47.5,27.4,434.0,18.8,20.6,69.0
2026-07-31T03:00:00Z,25.4,21.6,472.0,17.3,20.9,81.0
2026-07-31T04:00:00Z,21.8,20.5,446.0,14.3,20.1,103.0
2026-07-31T05:00:00Z,22.1,21.3,392.0,10.6,18.7,131.0
2026-07-31T06:00:00Z,23.3,22.8,353.0,7.9,17.4,150.0
2026-07-31T07:00:00Z,22.6,22.2,342.0,6.7,16.1,154.0
2026-07-31T08:00:00Z,28.2,20.8,347.0,6.6,14.8,149.0
2026-07-31T09:00:00Z,30.4,21.7,372.0,7.3,14.4,144.0
2026-07-31T10:00:00Z,23.7,20.7,431.0,8.9,15.5,142.0
2026-07-31T11:00:00Z,21.4,20.2,511.0,11.3,17.5,139.0
2026-07-31T12:00:00Z,32.0,31.5,571.0,19.2,19.1,125.0
2026-07-31T13:00:00Z,35.5,35.2,599.0,24.9,20.5,107.0
2026-07-31T14:00:00Z,37.0,36.7,609.0,32.5,22.4,83.0
2026-07-31T15:00:00Z,36.8,36.3,600.0,37.1,23.4,65.0
2026-07-31T16:00:00Z,35.6,34.9,566.0,36.0,22.9,58.0
2026-07-31T17:00:00Z,34.3,33.4,514.0,31.8,21.6,58.0
2026-07-31T18:00:00Z,32.1,31.2,461.0,27.7,20.3,58.0
2026-07-31T19:00:00Z,29.5,28.6,410.0,24.4,19.2,59.0
2026-07-31T20:00:00Z,157.9,41.2,358.0,21.2,18.2,61.0
2026-07-31T21:00:00Z,225.8,49.4,321.0,18.9,17.7,62.0
2026-07-31T22:00:00Z,252.4,52.9,299.0,18.2,17.9,59.0
2026-07-31T23:00:00Z,243.1,52.4,292.0,18.4,18.6,56.0
2026-08-01T00:00:00Z,26.5,25.5,308.0,18.9,19.4,55.0
2026-08-01T01:00:00Z,27.8,26.8,372.0,18.5,19.7,62.0
2026-08-01T02:00:00Z,28.6,27.5,460.0,17.8,20.0,73.0
2026-08-01T03:00:00Z,27.4,26.4,511.0,16.4,20.4,88.0
2026-08-01T04:00:00Z,26.0,25.3,487.0,13.7,20.8,112.0
2026-08-01T05:00:00Z,117.8,34.8,424.0,10.2,21.1,140.0
2026-08-01T06:00:00Z,44.8,27.6,375.0,7.8,21.4,162.0
2026-08-01T07:00:00Z,61.0,30.2,348.0,7.0,21.4,172.0
2026-08-01T08:00:00Z,38.1,30.5,334.0,7.2,21.4,175.0
2026-08-01T09:00:00Z,33.6,30.0,353.0,8.1,21.4,173.0
2026-08-01T10:00:00Z,31.3,29.5,424.0,9.5,21.6,168.0
2026-08-01T11:00:00Z,29.8,28.8,529.0,11.6,22.0,157.0
2026-08-01T12:00:00Z,55.9,36.6,631.0,14.6,21.9,159.0
2026-08-01T13:00:00Z,53.3,41.2,738.0,20.8,22.7,137.0
2026-08-01T14:00:00Z,51.5,44.9,843.0,29.2,23.8,107.0
2026-08-01T15:00:00Z,48.1,44.9,886.0,34.8,24.2,84.0
2026-08-01T16:00:00Z,44.4,43.2,825.0,35.2,23.5,75.0
2026-08-01T17:00:00Z,41.2,40.7,703.0,32.8,22.2,74.0
2026-08-01T18:00:00Z,40.4,40.3,590.0,29.7,20.9,75.0
2026-08-01T19:00:00Z,37.6,37.4,505.0,25.8,19.7,78.0
2026-08-01T20:00:00Z,35.5,35.0,429.0,21.1,18.6,83.0
2026-08-01T21:00:00Z,35.4,34.6,374.0,17.8,17.9,86.0
2026-08-01T22:00:00Z,36.6,35.3,344.0,17.0,17.8,82.0
2026-08-01T23:00:00Z,37.5,35.9,336.0,17.6,18.3,76.0
2026-08-02T00:00:00Z,45.3,44.2,354.0,22.8,22.8,62.0
2026-08-02T01:00:00Z,46.4,45.2,424.0,22.0,25.0,71.0
2026-08-02T02:00:00Z,44.9,43.0,519.0,20.7,27.9,85.0
2026-08-02T03:00:00Z,69.8,39.3,565.0,18.5,29.7,105.0
2026-08-02T04:00:00Z,79.6,39.9,513.0,14.7,29.5,135.0
2026-08-02T05:00:00Z,61.9,38.1,412.0,9.9,28.3,171.0
2026-08-02T06:00:00Z,53.8,37.7,333.0,6.5,26.7,197.0
2026-08-02T07:00:00Z,47.4,36.3,304.0,5.0,24.7,205.0
2026-08-02T08:00:00Z,42.0,34.5,298.0,4.9,22.3,203.0
2026-08-02T09:00:00Z,40.6,35.3,305.0,5.8,20.9,197.0
2026-08-02T10:00:00Z,40.5,36.9,311.0,7.7,21.0,189.0
