timestamp,pm10,pm25,co,no2,so2,o3
2026-07-31T00:00:00Z,40.6,16.0,114.0,2.5,2.4,53.0
2026-07-31T01:00:00Z,34.6,15.2,158.0,4.6,3.1,50.0
2026-07-31T02:00:00Z,35.5,16.1,218.0,7.4,4.0,45.0
2026-07-31T03:00:00Z,32.5,16.3,257.0,9.3,4.7,42.0
2026-07-31T04:00:00Z,31.1,15.8,252.0,9.2,4.9,41.0
2026-07-31T05:00:00Z,29.9,15.2,225.0,8.2,4.8,42.0
2026-07-31T06:00:00Z,29.5,15.0,203.0,7.4,4.7,42.0
2026-07-31T07:00:00Z,32.6,15.1,195.0,7.2,4.5,41.0
2026-07-31T08:00:00Z,29.0,14.0,191.0,7.1,4.2,40.0
2026-07-31T09:00:00Z,25.6,13.2,190.0,7.3,3.9,39.0
2026-07-31T10:00:00Z,25.4,12.7,193.0,7.9,3.8,38.0
2026-07-31T11:00:00Z,25.4,12.7,199.0,8.7,3.7,37.0
2026-07-31T12:00:00Z,30.0,14.1,199.0,8.1,3.5,36.0
2026-07-31T13:00:00Z,29.9,13.8,189.0,7.8,3.7,37.0
2026-07-31T14:00:00Z,28.9,13.6,174.0,7.3,4.1,37.0
2026-07-31T15:00:00Z,28.9,13.4,161.0,6.9,4.3,38.0
2026-07-31T16:00:00Z,28.2,13.4,154.0,6.6,4.4,38.0
2026-07-31T17:00:00Z,29.7,14.2,149.0,6.3,4.4,39.0
2026-07-31T18:00:00Z,32.5,15.0,142.0,5.8,4.2,39.0
2026-07-31T19:00:00Z,33.4,14.3,128.0,5.0,3.8,40.0
2026-07-31T20:00:00Z,34.8,14.4,113.0,4.1,3.3,41.0
2026-07-31T21:00:00Z,33.9,14.3,101.0,3.4,2.9,41.0
2026-07-31T22:00:00Z,32.0,13.9,95.0,3.1,2.7,40.0
2026-07-31T23:00:00Z,35.0,14.7,93.0,3.0,2.7,39.0
2026-08-01T00:00:00Z,37.1,15.3,100.0,3.8,3.5,38.0
2026-08-01T01:00:00Z,47.8,17.6,125.0,5.5,4.0,38.0
2026-08-01T02:00:00Z,39.8,16.8,160.0,7.9,4.7,38.0
2026-08-01T03:00:00Z,46.8,18.9,182.0,9.2,5.1,39.0
2026-08-01T04:00:00Z,42.4,18.9,178.0,8.5,5.0,40.0
2026-08-01T05:00:00Z,39.1,18.5,162.0,6.7,4.7,42.0
2026-08-01T06:00:00Z,38.2,17.2,151.0,5.3,4.4,45.0
2026-08-01T07:00:00Z,39.1,17.4,155.0,4.8,4.4,51.0
2026-08-01T08:00:00Z,37.7,17.4,164.0,4.6,4.5,59.0
2026-08-01T09:00:00Z,46.4,18.7,170.0,4.7,4.6,63.0
2026-08-01T10:00:00Z,40.9,17.8,168.0,5.3,4.6,60.0
2026-08-01T11:00:00Z,45.6,18.1,163.0,6.2,4.6,54.0
2026-08-01T12:00:00Z,42.8,17.9,160.0,8.9,4.0,47.0
2026-08-01T13:00:00Z,41.1,17.1,161.0,8.3,4.1,46.0
2026-08-01T14:00:00Z,43.4,17.8,164.0,7.5,4.2,44.0
2026-08-01T15:00:00Z,42.7,17.3,163.0,6.8,4.2,42.0
2026-08-01T16:00:00Z,50.4,18.4,157.0,6.4,4.2,41.0
2026-08-01T17:00:00Z,38.4,15.7,148.0,6.0,4.1,41.0
2026-08-01T18:00:00Z,35.0,14.9,137.0,5.6,4.0,41.0
2026-08-01T19:00:00Z,41.2,15.3,124.0,4.8,3.7,41.0
2026-08-01T20:00:00Z,39.5,15.8,109.0,3.9,3.2,42.0
2026-08-01T21:00:00Z,32.2,13.5,99.0,3.3,2.9,42.0
2026-08-01T22:00:00Z,31.1,13.2,94.0,3.0,2.7,42.0
2026-08-01T23:00:00Z,29.6,12.5,94.0,2.9,2.6,42.0
2026-08-02T00:00:00Z,29.4,12.2,102.0,3.0,2.6,43.0
2026-08-02T01:00:00Z,29.8,12.4,126.0,3.9,3.2,43.0
2026-08-02T02:00:00Z,33.4,13.4,158.0,5.1,3.9,44.0
2026-08-02T03:00:00Z,34.8,14.6,177.0,5.9,4.7,46.0
2026-08-02T04:00:00Z,33.5,14.9,169.0,5.8,5.4,52.0
2026-08-02T05:00:00Z,38.8,16.7,149.0,5.3,6.1,60.0
2026-08-02T06:00:00Z,38.9,17.4,133.0,4.8,6.5,66.0
2026-08-02T07:00:00Z,38.6,18.0,130.0,4.3,6.3,70.0
2026-08-02T08:00:00Z,39.0,18.9,132.0,3.8,5.7,73.0
2026-08-02T09:00:00Z,36.2,17.3,135.0,3.6,5.2,73.0
2026-08-02T10:00:00Z,34.7,16.1,137.0,3.9,4.8,68.0
2026-08-02T11:00:00Z,33.8,15.4,140.0,4.6,4.5,59.0
2026-08-02T12:00:00Z,49.7,21.5,147.0,5.4,3.9,49.0
2026-08-02T13:00:00Z,51.3,21.5,164.0,5.5,4.0,47.0
2026-08-02T14:00:00Z,46.7,19.4,185.0,5.6,4.1,45.0
2026-08-02T15:00:00Z,45.8,18.8,197.0,5.6,4.2,44.0
